ID,ten,quoc_gia,kinh_do,vi_do,thoi_gian,nhiet_do,do_am,ap_suat,huong_gio,toc_do_gio
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:19:41 2022,7.64,93,1021,210,2.06
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:19:42 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:19:51 2022,7.64,93,1021,210,2.06
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:19:52 2022,30.06,66,1009,40,2.57
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:20:01 2022,13.66,55,1019,57,2.74
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:20:02 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:20:11 2022,32.17,66,1006,200,5.14
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:20:12 2022,31.99,62,1008,0,1.03
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:20:22 2022,7.64,93,1021,210,2.06
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:20:22 2022,30.06,66,1009,40,2.57
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:20:32 2022,32.17,66,1006,200,5.14
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:20:33 2022,30.0,47,1007,162,4.13
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:20:41 2022,12.09,89,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:20:42 2022,31.99,62,1008,0,1.03
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:20:51 2022,12.09,89,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:20:52 2022,31.99,62,1008,0,1.03
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:21:01 2022,12.09,89,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:21:02 2022,30.06,66,1009,40,2.57
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:21:11 2022,15.29,44,1017,100,5.66
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:21:12 2022,31.99,62,1008,0,1.03
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:21:21 2022,7.64,93,1021,210,2.06
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:21:22 2022,31.99,62,1008,0,1.03
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:21:31 2022,7.64,93,1021,210,2.06
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:21:32 2022,31.99,62,1008,0,1.03
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:21:41 2022,15.29,44,1017,100,5.66
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:21:42 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:21:51 2022,15.29,44,1017,100,5.66
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:21:52 2022,28.95,65,1009,130,4.63
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:22:01 2022,7.64,93,1021,210,2.06
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:22:02 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:22:11 2022,12.09,89,1019,40,7.72
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:22:12 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:22:21 2022,15.29,44,1017,100,5.66
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:22:22 2022,30.06,66,1008,20,3.09
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:22:31 2022,15.29,44,1017,100,5.66
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:22:32 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:22:41 2022,12.09,89,1019,40,7.72
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:22:42 2022,30.0,47,1007,162,4.13
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:22:51 2022,32.17,66,1006,200,5.14
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:22:52 2022,30.06,66,1008,20,3.09
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:23:01 2022,7.64,93,1021,210,2.06
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:23:02 2022,28.95,65,1009,130,4.63
2088122,pari,PG,147.2167,-9.5165,Thu Apr 14 12:23:11 2022,32.17,66,1006,200,5.14
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:23:12 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:23:21 2022,12.09,89,1019,40,7.72
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:23:22 2022,28.95,65,1009,130,4.63
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:23:31 2022,7.64,93,1021,210,2.06
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:23:32 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:23:41 2022,12.09,89,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:23:42 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:23:52 2022,7.64,93,1021,210,2.06
1580240,hue,VN,107.6,16.4667,Thu Apr 14 12:23:52 2022,30.06,66,1008,20,3.09
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:24:02 2022,7.64,93,1021,210,2.06
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:24:02 2022,31.99,62,1007,60,1.54
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:24:12 2022,15.29,44,1017,100,5.66
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:24:12 2022,31.99,62,1007,60,1.54
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:24:22 2022,7.64,93,1021,210,2.06
1581130,hanoi,VN,105.8412,21.0245,Thu Apr 14 12:24:22 2022,30.0,47,1007,162,4.13
2643743,london,GB,-0.1257,51.5085,Thu Apr 14 12:24:32 2022,7.64,93,1021,210,2.06
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:24:32 2022,28.95,65,1009,130,4.63
1835848,seoul,KR,126.9778,37.5683,Thu Apr 14 12:24:42 2022,15.29,44,1017,100,5.66
1581298,haiphong,VN,106.6822,20.8561,Thu Apr 14 12:24:42 2022,28.95,65,1009,130,4.63
1850144,tokyo,JP,139.6917,35.6895,Thu Apr 14 12:24:52 2022,12.09,89,1019,40,7.72
1583992,danang,VN,108.2208,16.0678,Thu Apr 14 12:24:53 2022,31.99,62,1007,60,1.54
